OrderNo|LineNumber|ProductID|VariationID|UnitPrice|UnitVat|Quantity
451-2841-9351|6|203041337|209991379|1545.0|154.5|1
107-8430-8137|1|203040894|209990930|2273.0|227.3|1
451-2847-1156|6|203041621|209991675|4545.0|454.5|1
451-2849-2482|3|203266406|210598050|800.0|80.0|1
193-7199-5729|2|203040894|209990930|2273.0|227.3|1
365-4442-1590|2|13314170|38690024|1000.0|100.0|1
107-8432-4853|9|203040888|209990924|2273.0|227.3|1
193-7199-5729|4|203041178|209991217|1091.0|109.1|1
451-2846-4405|3|203185628|210444586|818.0|81.8|1
365-4389-7338|2|203294571|210680169|5000.0|500.0|1
107-8432-4853|7|203041172|209991211|1091.0|109.1|1
21-9284-0519|1|202768704|209242102|11727.0|1172.7|1
21-9284-8476|1|13375098|39746696|11727.0|1172.7|1
451-2841-6899|3|203041623|209991677|4545.0|454.5|1
21-9284-8035|1|13378227|39760802|11727.0|1172.7|1
193-7207-2445|1|203266395|210598039|1545.0|154.5|1
451-2841-8272|2|203040889|209990925|5455.0|545.5|1
193-7214-1398|1|203040890|209990926|2080.0|208.0|1
193-7213-9177|4|203041482|209991536|818.0|81.8|1
21-9316-1793|3|13314170|38690024|1000.0|100.0|1
451-2848-7922|5|203041483|209991537|818.0|81.8|1
451-2841-7419|2|203041335|209991377|1545.0|154.5|1
107-8425-8581|3|202974755|209772451|2273.0|227.3|1
451-2846-7565|5|203041178|209991217|1091.0|109.1|1
451-2848-9136|2|203329457|210729006|2273.0|227.3|1
365-4411-7638|1|201150798|204082009|11727.0|1172.7|1
107-8430-3144|11|203329433|210728928|591.0|59.1|1
451-2849-0601|3|203266406|210598050|800.0|80.0|3
451-2848-4337|3|203185600|210444558|2273.0|227.3|1
193-7204-8031|1|203041178|209991217|1091.0|109.1|1
107-8433-1164|7|203040894|209990930|2273.0|227.3|1
193-7214-1398|2|203041480|209991534|749.0|74.9|1
365-4411-9841|1|13375091|39746704|11727.0|1172.7|1
365-4411-9841|5|201607562|205595053|4200.0|420.0|1
451-2842-3463|1|203040894|209990930|2273.0|227.3|1
279-5944-6609|2|203294571|210680169|5000.0|500.0|1
193-7207-1377|5|203041177|209991216|1680.0|168.0|1
193-7199-9363|6|203041482|209991536|818.0|81.8|1
193-7204-5676|3|203041482|209991536|818.0|81.8|1
107-8440-1478|1|203040888|209990924|2273.0|227.3|1
193-7199-5368|5|203041177|209991216|1727.0|172.7|1
451-2849-2482|5|203266403|210598047|800.0|80.0|1
451-2841-8272|4|203041334|209991376|1545.0|154.5|1
107-8439-8944|17|203294534|210680113|1000.0|100.0|1
451-2848-3545|5|203329414|210728909|1091.0|109.1|1
451-2841-6899|2|203041337|209991379|1545.0|154.5|1
193-7204-8031|2|203040894|209990930|2273.0|227.3|1
21-9316-7079|2|13310408|38675077|3455.0|345.5|1
451-2849-0601|5|203185628|210444586|818.0|81.8|1
365-4445-7852|2|13314170|38690024|1000.0|100.0|1
193-7204-5676|4|203185600|210444558|2273.0|227.3|1
451-2848-8059|4|203040894|209990930|2273.0|227.3|1
193-7206-9627|4|203266403|210598047|800.0|80.0|1
193-7199-8516|2|203040894|209990930|2273.0|227.3|1
193-7214-1526|3|203041337|209991379|1545.0|154.5|1
279-5998-3424|5|202908260|209558296|4818.0|481.8|1
193-7207-2445|5|13315123|38692442|1800.0|180.0|2
