""|"21-9334-6019"|"1"|"0.8678"|"203110156"|"210154158"|"46.28"|"9.26"|"1"
""|"279-6014-6088"|"1"|"1.0"|"203432290"|"210974121"|"23.33"|"4.67"|"1"
""|"365-4460-4184"|"1"|"1.0"|"203110130"|"210153988"|"23.33"|"4.67"|"1"
""|"21-9341-3557"|"1"|"1.0"|"203161033"|"210351230"|"17.0"|"3.4"|"2"
""|"21-9338-9104"|"2"|"1.0"|"203130192"|"210222047"|"12.5"|"2.5"|"1"
""|"21-9338-1585"|"4"|"1.0"|"203130178"|"210222033"|"6.67"|"1.33"|"1"
""|"21-9337-7735"|"4"|"1.0"|"203122777"|"210191413"|"45.83"|"9.17"|"1"
""|"365-4456-8616"|"1"|"1.0"|"203122788"|"210191493"|"50.0"|"10.0"|"1"
""|"279-6014-6088"|"2"|"1.0"|"203294713"|"210680533"|"45.83"|"9.17"|"1"
""|"21-9338-0374"|"2"|"1.0"|"203110155"|"210154151"|"45.83"|"9.17"|"1"
""|"279-6016-4556"|"2"|"1.0"|"203110133"|"210154004"|"50.0"|"10.0"|"1"
""|"279-6015-4248"|"1"|"1.0"|"203122791"|"210191508"|"50.0"|"10.0"|"1"
""|"365-4464-7139"|"1"|"1.0"|"203004775"|"209857144"|"38.96"|"7.79"|"1"
""|"21-9339-0569"|"3"|"1.0"|"202751119"|"209196013"|"28.33"|"5.67"|"1"
""|"279-6019-6877"|"2"|"0.868"|"203011471"|"209879829"|"25.17"|"0.0"|"2"
""|"21-9335-5799"|"4"|"1.0"|"203110142"|"210154062"|"23.33"|"4.67"|"1"
""|"21-9333-0972"|"1"|"1.0"|"203130192"|"210222047"|"12.5"|"2.5"|"1"
""|"365-4466-2289"|"1"|"1.0"|"203122777"|"210191414"|"45.83"|"9.17"|"1"
""|"21-9338-9104"|"3"|"1.0"|"203122777"|"210191413"|"45.83"|"9.17"|"1"
""|"21-9339-5208"|"1"|"0.4862"|"203122773"|"210191385"|"45.53"|"4.55"|"1"
""|"365-4461-3898"|"2"|"1.0"|"203432290"|"210974123"|"23.33"|"4.67"|"1"
""|"21-9330-7325"|"2"|"0.8734"|"203110140"|"210154047"|"24.02"|"4.8"|"1"
""|"21-9341-4036"|"1"|"1.0"|"203011496"|"209879854"|"17.71"|"3.54"|"1"
""|"279-6020-2573"|"1"|"1.0"|"202619203"|"208785765"|"66.67"|"13.33"|"1"
""|"279-6019-6940"|"2"|"1.0"|"202981987"|"209789454"|"35.0"|"0.0"|"1"
""|"21-9332-8110"|"3"|"1.0"|"203432290"|"210974122"|"23.33"|"4.67"|"1"
